model,accuracy,precision,recall,f1,roc_auc,pr_auc
current_logistic,0.6998,0.6667,0.8079,0.7305,0.7531,0.6962
tuned_logistic,0.6994123063590078,0.6668318946610103,0.8071602363573167,0.7299303092918369,0.7551205796548104,0.7073415341478334
current_random_forest,0.688,0.6658,0.7641,0.7116,0.7487,0.6941
tuned_random_forest,0.6939003087422814,0.6709293160553835,0.7728322772118392,0.7177062379542777,0.7531648604406136,0.7022197742238316
current_gradient_boosting,0.6663,0.6504,0.7297,0.6878,0.723,0.6683
tuned_gradient_boosting,0.68507000866645,0.6623585117216406,0.7662736290473516,0.7099687221787395,0.741811124293464,0.690374774668937
